word|example|translation|example_translation|familiarity
sein|Ich bin müde, aber ich lerne weiter.|to be|I am tired, but I keep studying.|0
haben|Wir haben heute Zeit und machen die Hausaufgaben.|to have|We have time today and do the homework.|0
gehen|Er geht jeden Abend zu Fuß nach Hause.|to go|He goes home on foot every evening.|0
kommen|Sie kommt morgen früh mit dem Zug an.|to come|She arrives by train tomorrow morning.|0
machen|Ich mache jeden Tag Kaffee und Frühstück.|to make/do|I make coffee and breakfast every day.|0
sagen|Er sagt es langsam, damit ich es verstehe.|to say|He says it slowly so that I understand it.|0
geben|Kannst du mir bitte das Buch geben?|to give|Can you please give me the book?|0
nehmen|Ich nehme heute den Bus zur Arbeit.|to take|I am taking the bus to work today.|0
sehen|Wir sehen den Film und essen Popcorn.|to see/watch|We’re watching the movie and eating popcorn.|0
wissen|Ich weiß die Antwort leider noch nicht.|to know (a fact)|Unfortunately, I don’t know the answer yet.|0
wollen|Ich will heute früher schlafen gehen.|to want|I want to go to sleep earlier today.|0
können|Ich kann langsam sprechen und du verstehst mich.|can / to be able to|I can speak slowly and you understand me.|0
müssen|Ich muss jetzt gehen, mein Termin beginnt.|must / have to|I have to go now; my appointment starts.|0
sollen|Du sollst viel Wasser trinken.|should / supposed to|You should drink plenty of water.|0
lassen|Lass uns eine kurze Pause machen.|to let/allow/leave|Let’s take a short break.|0
finden|Ich finde die Schlüssel nicht, wo sind sie?|to find|I can’t find the keys; where are they?|0
bleiben|Wir bleiben heute Abend zu Hause.|to stay|We are staying at home this evening.|0
arbeiten|Ich arbeite von neun bis fünf.|to work|I work from nine to five.|0
sprechen|Sie spricht langsam und deutlich.|to speak|She speaks slowly and clearly.|0
spielen|Die Kinder spielen draußen im Garten.|to play|The children are playing outside in the garden.|0
lernen|Ich lerne Deutsch jeden Morgen zehn Minuten.|to learn|I study German every morning for ten minutes.|0
fahren|Wir fahren morgen mit dem Auto nach Wien.|to drive/go (by vehicle)|We’re driving to Vienna by car tomorrow.|0
fragen|Ich frage den Lehrer noch eine Frage.|to ask|I will ask the teacher one more question.|0
leben|Meine Großeltern leben auf dem Land.|to live|My grandparents live in the countryside.|0
heißen|Ich heiße Nina, und du?|to be called|My name is Nina; and you?|0
denken|Ich denke oft an meine Familie.|to think|I often think about my family.|0
schreiben|Er schreibt eine kurze E-Mail an mich.|to write|He is writing a short email to me.|0
essen|Wir essen zusammen zu Mittag.|to eat|We are eating lunch together.|0
trinken|Ich trinke morgens Tee ohne Zucker.|to drink|I drink tea without sugar in the morning.|0
lesen|Sie liest jeden Tag ein paar Seiten.|to read|She reads a few pages every day.|0
helfen|Kannst du mir kurz helfen, die Tasche zu tragen?|to help|Can you help me for a moment to carry the bag?|0
brauchen|Ich brauche heute Ruhe, weil ich viel gearbeitet habe.|to need|I need quiet today because I worked a lot.|0
beginnen|Der Kurs beginnt um acht, also komme ich früher.|to begin|The course starts at eight, so I will come earlier.|0
gehören|Dieses Buch gehört meiner Schwester, bitte pass darauf auf.|to belong|This book belongs to my sister; please take care of it.|0
verstehen|Ich verstehe die Frage jetzt besser, danke.|to understand|I understand the question better now, thanks.|0
bekommen|Er bekommt morgen eine neue Brille beim Optiker.|to get/receive|He is getting new glasses at the optician tomorrow.|0
versuchen|Ich versuche jeden Tag zehn neue Wörter zu lernen.|to try|I try to learn ten new words every day.|0
