word|example|translation|example_translation|familiarity
Willkommen!|Willkommen im Kurs!|welcome|Welcome to the course!|0
Hallo!|Hallo! Wie geht's?|hello|Hello! How's it going?|0
Guten Morgen.|Guten Morgen, Herr Berger.|good morning|Good morning, Mr. Berger.|0
Guten Tag.|Guten Tag, Frau Fischer.|good day / hello|Good day, Ms. Fischer.|0
Guten Abend.|Guten Abend, bis später.|good evening|Good evening, see you later.|0
Gute Nacht.|Gute Nacht, bis morgen.|good night|Good night, see you tomorrow.|0
Auf Wiedersehen.|Auf Wiedersehen und schönen Tag!|goodbye|Goodbye and have a nice day!|0
Tschüss (AT: Baba/Servus)|Tschüss, bis morgen!|bye|Bye, see you tomorrow!|0
Servus (AT)|Servus! Wie geht's?|hello / bye (AT)|Servus! How's it going?|0
Grüß dich (AT)|Grüß dich, Lisa!|hi (to one person, AT)|Hi, Lisa!|0
Ich bin …|Ich bin Nikola.|I am …|I am Nikola.|0
Ich heiße …|Ich heiße Nikola.|my name is …|My name is Nikola.|0
Mein Name ist …|Mein Name ist Nikola.|my name is …|My name is Nikola.|0
Entschuldigung|Entschuldigung, wie heißen Sie?|excuse me / sorry|Excuse me, what's your name?|0
Es tut mir leid.|Es tut mir leid, ich bin spät.|I am sorry.|I'm sorry, I'm late.|0
Hören Sie|Hören Sie bitte die Übung an.|listen (formal)|Please listen to the exercise.|0
Hören Sie noch einmal|Hören Sie die Übung noch einmal.|listen once more (formal)|Listen to the exercise again.|0
Lesen Sie|Lesen Sie den Dialog.|read (formal)|Read the dialogue.|0
Lesen Sie noch einmal|Lesen Sie den Text noch einmal.|read once more (formal)|Read the text once more.|0
Schreiben Sie|Schreiben Sie Ihren Namen.|write (formal)|Write your name.|0
Schreiben Sie auch die Artikel|Schreiben Sie auch die Artikel zu den Wörtern.|also write the articles (formal)|Also write the articles for the words.|0
Schreiben Sie richtig|Schreiben Sie die Sätze richtig.|write correctly (formal)|Write the sentences correctly.|0
Schreiben Sie Dialoge|Schreiben Sie zwei Dialoge.|write dialogues (formal)|Write two dialogues.|0
Ergänzen Sie|Ergänzen Sie die Lücken.|complete/fill in (formal)|Fill in the blanks.|0
Ergänzen Sie die Formen|Ergänzen Sie die Formen von sein.|complete the forms (formal)|Complete the forms of "sein".|0
Ergänzen Sie die Tabelle|Ergänzen Sie die Tabelle.|complete the table (formal)|Complete the table.|0
Buchstabieren Sie|Buchstabieren Sie bitte Ihren Namen.|spell (formal)|Please spell your name.|0
Sprechen Sie|Sprechen Sie mit Ihrer Partnerin.|speak (formal)|Speak with your (female) partner.|0
Sprechen Sie nach|Sprechen Sie die Sätze nach.|repeat (formal)|Repeat the sentences.|0
Sprechen Sie dann|Sprechen Sie dann im Kurs.|then speak (formal)|Then speak in the class.|0
Vergleichen Sie|Vergleichen Sie Ihre Antworten.|compare (formal)|Compare your answers.|0
Unterstreichen Sie|Unterstreichen Sie die richtigen Formen.|underline (formal)|Underline the correct forms.|0
Markieren Sie|Markieren Sie die Satzmelodie.|highlight/mark (formal)|Highlight the sentence melody.|0
Achten Sie auf …|Achten Sie auf die Betonung.|pay attention to … (formal)|Pay attention to the stress.|0
Ordnen Sie|Ordnen Sie die Sätze.|put in order (formal)|Put the sentences in order.|0
Ordnen Sie zu|Ordnen Sie die Wörter den Bildern zu.|match/assign (formal)|Match the words to the pictures.|0
Zeigen Sie|Zeigen Sie ein Bild.|show (formal)|Show a picture.|0
